City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,atuona,-9.8,-139.0333,298.22,71,99,6.72,PF,1667877497
85,cayenne,4.9333,-52.3333,297.17,94,100,0.0,GF,1667877497
86,catuday,16.2923,119.8062,301.87,68,61,2.89,PH,1667877497
87,sao joao da barra,-21.6403,-41.0511,293.83,75,100,1.51,BR,1667877498
88,gobabis,-22.45,18.9667,289.01,73,0,1.56,NA,1667877498
89,termoli,41.9888,14.9895,286.92,73,0,1.97,IT,1667877499
90,mopipi,-21.1833,24.8833,294.25,80,100,1.47,BW,1667877499
91,kelvington,52.1667,-103.5343,263.87,91,100,9.29,CA,1667877499
92,nikolskoye,59.7035,30.7861,277.09,92,100,4.41,RU,1667877500
93,hun,29.1268,15.9477,287.73,75,2,2.25,LY,1667877500
94,aykhal,66.0,111.5,254.09,100,99,1.38,RU,1667877501
95,ushuaia,-54.8,-68.3,285.94,54,20,2.57,AR,1667877501
96,bluff,-46.6,168.3333,291.93,75,62,5.76,NZ,1667877501
97,hinton,53.4001,-117.5857,255.92,99,100,1.65,CA,1667877330
98,svetlaya,46.5389,138.3297,279.93,43,5,2.62,RU,1667877502
99,longyearbyen,78.2186,15.6401,268.06,80,75,5.14,SJ,1667877502
100,providencia,28.7167,-111.5833,294.47,73,96,2.86,MX,1667877503
101,rocha,-34.4833,-54.3333,284.69,95,0,2.26,UY,1667877503
102,east london,-33.0153,27.9116,291.67,88,75,6.17,ZA,1667877503
103,severo-kurilsk,50.6789,156.125,277.63,74,84,7.89,RU,1667877289
104,ilulissat,69.2167,-51.1,250.44,88,14,2.82,GL,1667877285
105,cape town,-33.9258,18.4232,287.54,89,0,2.06,ZA,1667877476
106,lubao,14.9167,120.55,303.99,68,33,4.23,PH,1667877504
107,qaanaaq,77.484,-69.3632,255.1,98,100,1.82,GL,1667877505
108,saint-paul,-21.0096,55.2707,298.21,70,4,0.85,RE,1667877505
109,roald,62.5833,6.1333,281.9,87,21,3.6,NO,1667877506
110,selma,36.5708,-119.6121,285.88,97,96,0.0,US,1667877506
111,mantua,45.1667,10.7833,282.73,86,33,1.34,IT,1667877506
112,ostersund,63.1792,14.6357,272.4,100,100,1.54,SE,1667877507
113,vardo,70.3705,31.1107,275.14,80,75,2.06,NO,1667877507
114,zhigansk,66.7697,123.3711,251.71,92,100,3.28,RU,1667877215
115,kanniyakumari,8.0833,77.5667,299.34,77,90,6.28,IN,1667877508
116,russell,32.3502,-85.1999,295.93,72,52,1.98,US,1667877329
117,lavrentiya,65.5833,-171.0,270.84,96,100,9.93,RU,1667877508
118,norman wells,65.282,-126.8329,256.17,85,20,4.12,CA,1667877508
119,klaksvik,62.2266,-6.589,282.66,92,100,16.81,FO,1667877509
120,kalaiya,27.0327,85.0022,296.51,59,95,0.71,NP,1667877509
121,malakal,9.5334,31.6605,296.8,70,97,2.0,SS,1667877425
